Ratio,Value
EBITDA Margin (%),3.1467667835795092
PAT Margin (%),2.6033690658499236
Gross Profit Margin (%),72.50901546213507
ROE (%),1.0134615384615384
ROA (%),0.8107692307692307
ROCE (%),1.1840148698884758
Debt/Equity Ratio,0.03461538461538462
Interest Coverage Ratio,4.136363636363637
Fixed Asset Turnover,2.8115277777777776
Working Capital Turnover,4.217291666666667
Inventory Turnover,9.63952380952381
Inventory Days,37.86494096724793
Receivables Turnover,5.623055555555555
DSO (Days),64.91132737242503
EPS (₹),5.576719576719577
Book Value per Share (₹),550.2645502645503
P/E Ratio,43.93263757115749
P/B Ratio,0.4452403846153846
P/S Ratio,1.1437286963394755
Discounted Cash Flow (DCF),7254.911190511084
Intrinsic Value per Share (₹),76.77154698953528
Margin of Safety (%),-219.12864805680664
